time,vel_x,vel_y,vel_z,roll,pitch,yaw
0,-0.0,0.0,0.0,0.004311659839004278,0.10445034503936768,2.366060733795166
0.01,-0.0,0.0,0.0,0.004311659839004278,0.10445034503936768,2.366060733795166
0.02,-0.0,0.0,0.0,0.004311659839004278,0.10445034503936768,2.366060733795166
0.03,0.0,0.0,0.0,0.004311659839004278,0.10445034503936768,2.366060733795166
0.04,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.05,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.060000000000000005,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.07,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.08,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.09,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.09999999999999999,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.10999999999999999,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.11999999999999998,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.12999999999999998,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.13999999999999999,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.15,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.16,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.17,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.18000000000000002,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.19000000000000003,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.20000000000000004,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.21000000000000005,0.0,0.0,0.0,0.004314490593969822,0.10435931384563446,2.366074562072754
0.22000000000000006,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.23000000000000007,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.24000000000000007,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.25000000000000006,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.26000000000000006,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.2700000000000001,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.2800000000000001,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.2900000000000001,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.3000000000000001,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.3100000000000001,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.3200000000000001,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.3300000000000001,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.34000000000000014,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.35000000000000014,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.36000000000000015,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.37000000000000016,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.38000000000000017,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.3900000000000002,0.0,0.0,0.0,0.004369659349322319,0.1043621227145195,2.3661413192749023
0.4000000000000002,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.4100000000000002,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.4200000000000002,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.4300000000000002,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.4400000000000002,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.45000000000000023,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.46000000000000024,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.47000000000000025,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.48000000000000026,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.49000000000000027,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.5000000000000002,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.5100000000000002,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.5200000000000002,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.5300000000000002,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.5400000000000003,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.5500000000000003,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.5600000000000003,0.0,0.0,0.0,0.004444191697984934,0.10438688099384308,2.3661866188049316
0.5700000000000003,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.5800000000000003,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.5900000000000003,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.6000000000000003,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.6100000000000003,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.6200000000000003,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.6300000000000003,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.6400000000000003,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.6500000000000004,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.6600000000000004,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.6700000000000004,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.6800000000000004,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.6900000000000004,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.7000000000000004,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.7100000000000004,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.7200000000000004,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.7300000000000004,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.7400000000000004,0.0,0.0,0.0,0.004822829272598028,0.10430512577295303,2.368072509765625
0.7500000000000004,0.0,0.0,0.0,0.004841399844735861,0.10434475541114807,2.3675436973571777
0.7600000000000005,0.0,0.0,0.0,0.004841399844735861,0.10434475541114807,2.3675436973571777
0.7700000000000005,0.0,0.0,0.0,0.004841399844735861,0.10434475541114807,2.3675436973571777
0.7800000000000005,0.0,0.0,0.0,0.004841399844735861,0.10434475541114807,2.3675436973571777
0.7900000000000005,0.0,0.0,0.0,0.004841399844735861,0.10434475541114807,2.3675436973571777
0.8000000000000005,0.0,0.0,0.0,0.004841399844735861,0.10434475541114807,2.3675436973571777
0.8100000000000005,0.0,0.0,0.0,0.004841399844735861,0.10434475541114807,2.3675436973571777
