time,vel_x,vel_y,vel_z,roll,pitch,yaw,st
0,0.0,0.0,0.0,-0.0033522851299494505,0.09873755276203156,-1.534365177154541,0
0.01,0.0,0.0,0.0,-0.0033522851299494505,0.09873755276203156,-1.534365177154541,0
0.02,0.0,0.0,0.0,-0.0033522851299494505,0.09873755276203156,-1.534365177154541,0
0.03,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.04,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.05,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.060000000000000005,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.07,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.08,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.09,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.09999999999999999,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.10999999999999999,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.11999999999999998,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.12999999999999998,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.13999999999999999,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.15,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.16,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.17,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.18000000000000002,0.0,0.0,0.0,-0.0034083984792232513,0.09874921292066574,-1.5346578359603882,0
0.19000000000000003,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.20000000000000004,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.21000000000000005,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.22000000000000006,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.23000000000000007,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.24000000000000007,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.25000000000000006,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.26000000000000006,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.2700000000000001,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.2800000000000001,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.2900000000000001,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.3000000000000001,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.3100000000000001,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.3200000000000001,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.3300000000000001,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.34000000000000014,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.35000000000000014,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.36000000000000015,0.0,0.0,0.0,-0.003351199207827449,0.09878187626600266,-1.534630537033081,0
0.37000000000000016,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.38000000000000017,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.3900000000000002,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.4000000000000002,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.4100000000000002,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.4200000000000002,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.4300000000000002,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.4400000000000002,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.45000000000000023,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.46000000000000024,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.47000000000000025,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.48000000000000026,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.49000000000000027,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.5000000000000002,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.5100000000000002,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.5200000000000002,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.5300000000000002,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.5400000000000003,0.0,0.0,0.0,-0.0033872404601424932,0.09884151071310043,-1.5346696376800537,0
0.5500000000000003,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.5600000000000003,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.5700000000000003,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.5800000000000003,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.5900000000000003,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.6000000000000003,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.6100000000000003,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.6200000000000003,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.6300000000000003,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.6400000000000003,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.6500000000000004,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.6600000000000004,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.6700000000000004,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.6800000000000004,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.6900000000000004,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.7000000000000004,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.7100000000000004,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.7200000000000004,0.0,0.0,0.0,-0.0032634472008794546,0.0986558347940445,-1.5342603921890259,0
0.7300000000000004,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.7400000000000004,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.7500000000000004,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.7600000000000005,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.7700000000000005,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.7800000000000005,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.7900000000000005,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.8000000000000005,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.8100000000000005,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.8200000000000005,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.8300000000000005,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.8400000000000005,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.8500000000000005,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.8600000000000005,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.8700000000000006,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.8800000000000006,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.8900000000000006,0.0,0.0,0.0,-0.003368398640304804,0.09882295876741409,-1.534350872039795,0
0.9000000000000006,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
0.9100000000000006,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
0.9200000000000006,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
0.9300000000000006,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
0.9400000000000006,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
0.9500000000000006,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
0.9600000000000006,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
0.9700000000000006,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
0.9800000000000006,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
0.9900000000000007,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
1.0000000000000007,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
1.0100000000000007,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
1.0200000000000007,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
1.0300000000000007,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
1.0400000000000007,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
1.0500000000000007,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
1.0600000000000007,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
1.0700000000000007,0.0,0.0,0.0,-0.0033273177687078714,0.09862685203552246,-1.5341978073120117,0
1.0800000000000007,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.0900000000000007,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.1000000000000008,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.1100000000000008,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.1200000000000008,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.1300000000000008,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.1400000000000008,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.1500000000000008,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.1600000000000008,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.1700000000000008,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.1800000000000008,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.1900000000000008,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.2000000000000008,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.2100000000000009,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.2200000000000009,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.2300000000000009,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.2400000000000009,0.0,0.0,0.0,-0.0032599640544503927,0.09868048876523972,-1.5342179536819458,0
1.2500000000000009,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.260000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.270000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.280000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.290000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.300000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.310000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.320000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.330000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.340000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.350000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.360000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.370000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.380000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.390000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.400000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.410000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
1.420000000000001,0.0,0.0,0.0,-0.003261311911046505,0.09873531758785248,-1.5340662002563477,0
