time,vel_x,vel_y,vel_z,roll,pitch,yaw,st
0,0.0,0.0,0.0,0.008650407195091248,0.10519471019506454,-0.6379061937332153,0
0.01,0.0,0.0,0.0,0.008650407195091248,0.10519471019506454,-0.6379061937332153,0
0.02,0.0,0.0,0.0,0.008650407195091248,0.10519471019506454,-0.6379061937332153,0
0.03,0.0,0.0,0.0,0.008650407195091248,0.10519471019506454,-0.6379061937332153,0
0.04,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.05,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.060000000000000005,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.07,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.08,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.09,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.09999999999999999,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.10999999999999999,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.11999999999999998,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.12999999999999998,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.13999999999999999,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.15,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.16,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.17,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.18000000000000002,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.19000000000000003,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.20000000000000004,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.21000000000000005,0.0,0.0,0.0,0.008626469410955906,0.10519225150346756,-0.6378849744796753,0
0.22000000000000006,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.23000000000000007,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.24000000000000007,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.25000000000000006,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.26000000000000006,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.2700000000000001,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.2800000000000001,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.2900000000000001,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.3000000000000001,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.3100000000000001,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.3200000000000001,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.3300000000000001,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.34000000000000014,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.35000000000000014,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.36000000000000015,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
0.37000000000000016,0.0,0.0,0.0,0.008602183312177658,0.10525985062122345,-0.6378287672996521,0
